specimen;species;biogeo;land;habitat_broad;habitat;SVL;TrL;HL;HW;HH;Lhu;Lun;Lfe;Ltb
CN2636;Pristurus_gallagheri;Arabia;mainland;tree;tree;34.78;14.72;8.63;5.91;4.51;4.95;5.74;6.78;7.11
CN2787;Pristurus_gallagheri;Arabia;mainland;tree;tree;33.24;14.24;7.93;5.76;4.2;4.57;5.25;5.86;6.63
CN3707;Pristurus_gallagheri;Arabia;mainland;tree;tree;33.78;14.96;8.14;5.62;4.26;4.42;4.96;6.43;6.67
CN417;Pristurus_gallagheri;Arabia;mainland;tree;tree;31.76;12.84;7.82;5.31;3.87;3.97;4.84;5.31;6.16
CN5845;Pristurus_gallagheri;Arabia;mainland;tree;tree;32.61;14.15;7.96;5.55;4.21;4.53;5.27;6.18;6.65
CN7015;Pristurus_gallagheri;Arabia;mainland;tree;tree;36.47;16.43;8.73;6.03;4.6;4.79;5.46;6.76;7.01
CN7030;Pristurus_gallagheri;Arabia;mainland;tree;tree;29.81;12.88;7.67;5.12;3.84;3.89;4.61;5.17;5.74
CN7081;Pristurus_gallagheri;Arabia;mainland;tree;tree;32.06;13.83;7.9;5.44;4.16;4.83;5.41;6.46;6.93
CN7214;Pristurus_gallagheri;Arabia;mainland;tree;tree;30.41;12.61;7.69;5.31;4.05;4.41;5.04;5.92;6.34
CN7290;Pristurus_gallagheri;Arabia;mainland;tree;tree;28.07;11.51;7.28;4.91;3.64;3.59;4.35;5.26;5.55
CN9810;Pristurus_gallagheri;Arabia;mainland;tree;tree;37.18;16.94;8.91;6.01;4.56;5.47;5.92;7.19;7.59
CN9811;Pristurus_gallagheri;Arabia;mainland;tree;tree;32.21;14.08;7.88;5.54;4.06;4.87;5.02;6.32;6.22
S1973;Pristurus_gallagheri;Arabia;mainland;tree;tree;32.26;13.98;7.97;5.62;4.11;4.89;5.36;6.22;6.44
S6133;Pristurus_gallagheri;Arabia;mainland;tree;tree;30.92;13.21;7.71;5.22;4.12;4.22;4.77;5.82;6.24
S7271;Pristurus_gallagheri;Arabia;mainland;tree;tree;28.53;12.23;7.45;4.82;3.82;3.91;4.66;5.42;6.21
1094;Pristurus_guichardi;Sokotra;island;tree;tree;27.25;11.1;8.08;5.1;3.96;3.63;5.01;5.91;5.83
1095;Pristurus_guichardi;Sokotra;island;tree;tree;30.16;12.53;8.95;5.49;4.52;4.41;5.95;6.26;6.15
1096;Pristurus_guichardi;Sokotra;island;tree;tree;29.29;13.21;8.74;5.23;3.97;4.03;6.02;5.87;6.24
1097;Pristurus_guichardi;Sokotra;island;tree;tree;32.34;13.2;9.6;5.66;4.21;4.47;6.07;6.01;6.85
1098;Pristurus_guichardi;Sokotra;island;tree;tree;29.09;12.07;8.77;5.21;3.85;4.16;5.55;5.6;5.65
1102;Pristurus_guichardi;Sokotra;island;tree;tree;30.76;13.13;8.81;5.58;4.68;4.11;5.69;6.76;6.17
1105;Pristurus_guichardi;Sokotra;island;tree;tree;32.47;15;9.31;5.71;4.18;4.29;6.45;6.35;6.67
1150;Pristurus_guichardi;Sokotra;island;tree;tree;32.66;14.59;9.24;5.68;3.77;4.87;5.67;6.36;6.01
1151;Pristurus_guichardi;Sokotra;island;tree;tree;32.3;14.17;8.73;5.36;4.31;5.31;5.58;7.93;6.7
1152;Pristurus_guichardi;Sokotra;island;tree;tree;35.06;14.61;10.05;5.81;4.35;5.62;6.08;6.78;6.64
1152;Pristurus_guichardi;Sokotra;island;tree;tree;30.58;12.06;9.26;5.35;4.41;4.56;5.3;7.64;6.34
1161;Pristurus_guichardi;Sokotra;island;tree;tree;37.95;16.71;10.18;6.32;5.31;5.05;7.08;7.58;7.28
1164;Pristurus_guichardi;Sokotra;island;tree;tree;30.12;13.71;8.93;5.15;4.53;4.83;5.5;6.86;6.46
BM1953.1.7.82;Pristurus_guichardi;Sokotra;island;tree;tree;34.51;15.15;9.08;6.04;4.43;4.1;5.84;6.83;7.06
BM1967.500;Pristurus_guichardi;Sokotra;island;tree;tree;33.76;14.53;9.43;6;5.12;4.24;5.95;6.65;7.51
MCC-R1523-1;Pristurus_guichardi;Sokotra;island;tree;tree;32.58;14.01;8.74;5.68;4.24;4.89;5.75;5.68;6.81
MCC-R1523-2;Pristurus_guichardi;Sokotra;island;tree;tree;31;14.07;8.21;5.53;4.48;5.16;5.16;6.61;5.83
R-1435;Pristurus_guichardi;Sokotra;island;tree;tree;34.47;14.91;9.06;6.1;4.49;5.08;5.93;6.65;6.64
R-1440-1;Pristurus_guichardi;Sokotra;island;tree;tree;38.21;16.21;9.12;6.5;4.7;5.53;6.73;6.88;7.55
R-1440-2;Pristurus_guichardi;Sokotra;island;tree;tree;33.72;15.06;8.79;5.61;4.17;5.64;5.48;6.29;6.86
R-1440-3;Pristurus_guichardi;Sokotra;island;tree;tree;32.85;16.26;7.93;5.65;4.24;5.13;5.75;6.62;6.17
R-1440-4;Pristurus_guichardi;Sokotra;island;tree;tree;32.02;14.55;7.83;5.23;3.79;5.14;5.46;6.24;6.39
R-1521-1;Pristurus_guichardi;Sokotra;island;tree;tree;31.41;13.53;6.57;5.3;3.92;4.25;3.92;5.68;5.65
R-1521-2;Pristurus_guichardi;Sokotra;island;tree;tree;28.92;12.14;8.02;4.93;3.64;5.12;4.77;5.46;6.04
R-1522;Pristurus_guichardi;Sokotra;island;tree;tree;30.41;14.18;8.45;4.79;4.14;4.23;5.19;5.81;5.62
R1427-1;Pristurus_guichardi;Sokotra;island;tree;tree;35.48;16.55;9.26;5.89;4.6;5.12;6.14;5.9;6.94
R1427-2;Pristurus_guichardi;Sokotra;island;tree;tree;34.62;15.46;8.55;5.54;4.55;4.77;6.17;6.76;7.37
S5483;Pristurus_guichardi;Sokotra;island;tree;tree;32.86;14.55;8.67;5.73;4.28;4.49;5.57;6.08;6.71
1108;Pristurus_insignis;Sokotra;island;rock;rock;45.27;18.76;12.75;8.36;6.66;7.62;10.95;11.33;12.56
1109;Pristurus_insignis;Sokotra;island;rock;rock;50.19;19.81;13.18;8.5;6.41;8.58;11.76;12.14;12.97
1110;Pristurus_insignis;Sokotra;island;rock;rock;47.87;21.1;12.91;8.27;6.66;7.02;10.41;11.46;12.14
1168;Pristurus_insignis;Sokotra;island;rock;rock;48.88;21.37;12.45;8.06;6.33;8.32;10.47;14.15;12.92
1170;Pristurus_insignis;Sokotra;island;rock;rock;56.58;26.18;13.74;9.39;7.12;10.03;12.22;15.02;14.61
BM1953.1.7.70;Pristurus_insignis;Sokotra;island;rock;rock;57.77;23.75;13.14;8.85;6.93;9.98;11.73;14.33;15.3
BM1953.1.7.72;Pristurus_insignis;Sokotra;island;rock;rock;52.88;21.44;12.49;8.39;6.38;8.45;11.03;12.25;13.24
BM1953.1.7.74;Pristurus_insignis;Sokotra;island;rock;rock;51.46;21.64;12.41;8.05;6.37;8.3;10.32;11.46;13.04
BM1957.1.9.30;Pristurus_insignis;Sokotra;island;rock;rock;58.74;26.03;13.56;10.11;7.29;9.6;11.49;13.23;15.21
BM81.7.22.12;Pristurus_insignis;Sokotra;island;rock;rock;55.03;24.11;12.99;9.26;7.32;9.26;11.06;12.97;14.43
BM81.7.22.13;Pristurus_insignis;Sokotra;island;rock;rock;60.77;27.91;13.87;9.97;7.53;10.12;12.21;13.64;15.64
BM99.12.5.1;Pristurus_insignis;Sokotra;island;rock;rock;47.94;18.86;11.91;8.15;6.17;8.86;10.38;12.31;13.27
BM99.12.5.10;Pristurus_insignis;Sokotra;island;rock;rock;57.19;24.19;13.74;9.12;7.32;8.82;11.56;12.39;14.63
R1545-1;Pristurus_insignis;Sokotra;island;rock;rock;48.89;22.9;11.43;7.98;6.27;8.92;10.43;11.78;12.73
R1545-2;Pristurus_insignis;Sokotra;island;rock;rock;56.83;23.26;14.63;9.54;7.45;8.98;12.01;13.93;14.1
R1546;Pristurus_insignis;Sokotra;island;rock;rock;53.44;22.66;13.72;8.94;7.05;10.68;11.98;14.46;14.06
R1547;Pristurus_insignis;Sokotra;island;rock;rock;53.33;22.33;13.61;9.41;7.25;9.91;12.41;13.54;14.22
S3701;Pristurus_insignis;Sokotra;island;rock;rock;52.9;23.05;14.05;9.78;6.73;10.32;12.11;12.41;14.06
BM1899.12.5.2;Pristurus_sp12;Sokotra;island;rock;rock;51.33;22.66;12.4;8.24;6.98;8.18;10.97;12.1;13.8
BM1899.12.5.3;Pristurus_sp12;Sokotra;island;rock;rock;50.59;24.02;11.5;7.72;6.5;8.35;10.88;12.14;13.73
1111;Pristurus_insignoides;Sokotra;island;rock;rock;48.6;21.75;12.85;8.08;6.27;7.18;8.43;10.03;10.86
1112;Pristurus_insignoides;Sokotra;island;rock;rock;50.34;22.71;12.56;8.39;6.6;6.62;9.29;9.91;10.75
1113;Pristurus_insignoides;Sokotra;island;rock;rock;50.47;21.1;12.68;8.14;6.49;6.82;9;10.38;10.5
BM1967.498;Pristurus_insignoides;Sokotra;island;rock;rock;52.07;22.85;11.83;7.98;6.22;7.36;9.37;11.56;12.6
BM1967.499;Pristurus_insignoides;Sokotra;island;rock;rock;52.02;22.36;12.44;8.56;6.18;6.8;9.99;11.91;12.86
BM99.12.5.7;Pristurus_insignoides;Sokotra;island;rock;rock;51.65;23.22;12.15;8.25;5.85;7.27;9.39;11.23;12.55
BM99.12.5.8;Pristurus_insignoides;Sokotra;island;rock;rock;48.62;21.31;11.73;8.39;6.27;7.67;8.64;11.35;11.85
R1543-1;Pristurus_insignoides;Sokotra;island;rock;rock;48.64;20.95;12.02;8.23;6.05;8.61;8.74;11.45;10.48
R1543-2;Pristurus_insignoides;Sokotra;island;rock;rock;47.3;19.01;11.35;7.81;5.59;7.27;8.51;11.44;10.91
R1544-1;Pristurus_insignoides;Sokotra;island;rock;rock;49.52;22.47;12.02;8.38;6.01;9.19;9.34;11.38;10.49
R1544-2;Pristurus_insignoides;Sokotra;island;rock;rock;47.69;19.92;11.69;8.46;5.99;8.79;9.26;11.04;10.85
R1604-1;Pristurus_insignoides;Sokotra;island;rock;rock;48.1;20.62;12.08;7.83;5.98;7.21;8.78;11.27;10.38
R1605-1;Pristurus_insignoides;Sokotra;island;rock;rock;47.95;18.47;12.19;7.89;6.43;7.33;9.02;10.73;11
R1605-2;Pristurus_insignoides;Sokotra;island;rock;rock;47.78;19.15;12.46;8.06;6.23;6.82;9.15;11.57;11.07
JEM241;Pristurus_sp9;Arabia;mainland;tree;tree;30.43;14.26;7.77;5.48;3.98;4.48;4.82;5.52;5.74
JEM246;Pristurus_sp9;Arabia;mainland;tree;tree;25.41;11.75;6.37;4.67;3.39;3.52;3.83;4.23;4.45
1099;Pristurus_obsti;Sokotra;island;tree;tree;29.84;13.42;8.36;5.08;4.23;4.04;5.2;6.03;6.66
1100;Pristurus_obsti;Sokotra;island;tree;tree;28.91;12.46;8.06;4.93;3.9;4.61;5.9;6.16;5.95
1101;Pristurus_obsti;Sokotra;island;tree;tree;29.15;13.33;8.11;5.08;4.22;4.51;5.24;5.78;6.18
1104;Pristurus_obsti;Sokotra;island;tree;tree;30.35;14.11;8.81;5.1;4.27;4.79;5.9;6;6.54
1149;Pristurus_obsti;Sokotra;island;tree;tree;31.34;14.02;8.33;5.12;3.84;5.06;5.62;6.39;6.42
1149;Pristurus_obsti;Sokotra;island;tree;tree;31.17;13.48;9.07;5.07;4;4.48;5.62;6.86;6.44
1153;Pristurus_obsti;Sokotra;island;tree;tree;29.95;12.91;8.66;5.15;4.19;4.55;6.37;5.95;6.43
1154;Pristurus_obsti;Sokotra;island;tree;tree;31.05;13.52;8.42;4.81;3.69;5.07;5.76;6.15;6.49
1155;Pristurus_obsti;Sokotra;island;tree;tree;30.03;14.51;8.9;5.42;3.98;4.78;5.92;6.2;6.61
1156;Pristurus_obsti;Sokotra;island;tree;tree;28.03;11.68;8.3;4.99;3.69;4.29;5.4;6.41;6.16
1160;Pristurus_obsti;Sokotra;island;tree;tree;31.01;14.12;8.47;5.48;4.02;4.26;5.38;6.23;5.58
1162;Pristurus_obsti;Sokotra;island;tree;tree;30.29;14.02;8.78;5.47;4.51;5;5.56;6.51;5.94
188_5_2010;Pristurus_obsti;Sokotra;island;tree;tree;33.52;14.94;9.55;5.61;4.52;5.71;6.37;7.18;6.83
R-1520-1;Pristurus_obsti;Sokotra;island;tree;tree;33.12;14.22;8.91;5.34;4.63;5.69;5.36;6.56;6.77
R-1520-2;Pristurus_obsti;Sokotra;island;tree;tree;31.31;14.66;8.03;5.53;4.56;4.2;5.37;5.86;5.98
R-1520-3;Pristurus_obsti;Sokotra;island;tree;tree;30.93;14.04;8.24;5.31;4.23;5.29;5.02;5.84;5.48
WP319_row6_2010;Pristurus_obsti;Sokotra;island;tree;tree;31.37;13.21;8.4;5.55;4.31;4.64;5.82;6.08;5.94
wp340_row5_2010;Pristurus_obsti;Sokotra;island;tree;tree;31.97;14.71;8.6;5.45;4.54;4.65;6.11;6.62;6.34
BM1953.1.6.80;Pristurus_ornithocephalus;Arabia;mainland;ground;hard-ground;44.7;18.22;12.81;8.51;6.96;8.27;9.4;12.48;12.14
BM1953.1.6.81;Pristurus_ornithocephalus;Arabia;mainland;ground;hard-ground;52.32;22.4;13.2;10.36;7.76;9.96;10.79;14.34;14.76
BM1963.681;Pristurus_ornithocephalus;Arabia;mainland;ground;hard-ground;48.52;20.75;11.47;9.24;6.55;7.16;8.55;11.29;11.61
BM99.12.13.34;Pristurus_ornithocephalus;Arabia;mainland;ground;hard-ground;41.46;17.53;10.2;8.41;5.82;8.51;8.58;10.56;11.66
BM99.12.13.35;Pristurus_ornithocephalus;Arabia;mainland;ground;hard-ground;47.27;19.36;10.86;8.52;6.08;8.87;9.04;11.16;12.14
BM99.12.13.36;Pristurus_ornithocephalus;Arabia;mainland;ground;hard-ground;45.28;19.61;10.49;8.03;6.1;7.78;8.46;11.04;11.45
JEM646;Pristurus_ornithocephalus;Arabia;mainland;ground;hard-ground;36.5;16.89;9.76;7.09;5.04;6.98;7.52;9.72;9.96
JEM647;Pristurus_ornithocephalus;Arabia;mainland;ground;hard-ground;48.87;20.56;12.67;9.81;7.61;8.74;9.8;13.12;14
JEM648;Pristurus_ornithocephalus;Arabia;mainland;ground;hard-ground;40.85;17.43;11.49;8.26;6.41;7.51;7.68;10.82;10.95
BM1963.690;Pristurus_popovi;Arabia;mainland;rock;rock;34.73;14.34;8.24;6.91;4.15;4.27;5.56;6.86;6.96
BM1963.693;Pristurus_popovi;Arabia;mainland;rock;rock;32.91;15.22;7.51;5.88;4.2;4.74;4.72;5.88;6.59
BM1977.1215;Pristurus_popovi;Arabia;mainland;rock;rock;33.04;14.48;7.81;6.13;4.04;3.81;4.78;6.14;6.25
BM1977.1217;Pristurus_popovi;Arabia;mainland;rock;rock;32.39;13.88;7.89;6.03;3.74;4.96;5.24;6.42;6.55
BM1977.409;Pristurus_popovi;Arabia;mainland;rock;rock;36.32;15.27;8.53;6.34;4.26;4.93;5.66;7.39;7.61
BM1977.410;Pristurus_popovi;Arabia;mainland;rock;rock;34.48;14.26;8.46;6.76;4.28;4.37;5.35;6.36;6.84
BM1977.411;Pristurus_popovi;Arabia;mainland;rock;rock;35.2;14.7;8.52;6.31;4.23;5.06;5.46;7.15;7.34
BM1978.1340;Pristurus_popovi;Arabia;mainland;rock;rock;34.61;16.78;7.84;6.31;3.91;4.72;4.87;6.37;6.51
BM1978.692;Pristurus_popovi;Arabia;mainland;rock;rock;34.31;13.97;8.16;6.67;4.48;4.78;5.72;6.93;7.43
BM1978.693;Pristurus_popovi;Arabia;mainland;rock;rock;34.53;13.83;8.07;6.7;4.21;4.77;5.34;6.44;6.81
BM1984.732;Pristurus_popovi;Arabia;mainland;rock;rock;34.02;16.34;7.79;6.62;4.52;4.76;5.18;5.88;6.03
S10421;Pristurus_popovi;Arabia;mainland;rock;rock;30.65;14.15;7.7;6.18;4.22;4.99;5.1;6.66;6.41
S10427;Pristurus_popovi;Arabia;mainland;rock;rock;28.99;11.56;7.05;5.92;3.95;4.23;4.69;5.43;5.74
S10460;Pristurus_popovi;Arabia;mainland;rock;rock;34.71;15.28;8.31;6.82;4.3;4.34;5.54;6.51;6.89
S10506;Pristurus_popovi;Arabia;mainland;rock;rock;34.54;15.41;7.75;6.77;4.48;4.64;5.18;6.43;6.23
CN190;Pristurus_rupestris;Arabia;mainland;rock;rock;25.41;11.29;6.19;4.42;3.1;3.85;4.23;5.18;6.03
CN4018;Pristurus_rupestris;Arabia;mainland;rock;rock;26.15;10.96;6.57;4.49;3.47;3.72;4.78;5.7;6.44
CN4237;Pristurus_rupestris;Arabia;mainland;rock;rock;24.27;10.25;5.93;4.1;2.89;3.92;4.33;5.37;6.05
CN4246;Pristurus_rupestris;Arabia;mainland;rock;rock;25.7;10.48;6.69;4.63;3.21;3.74;4.87;5.42;5.84
CN6975;Pristurus_rupestris;Arabia;mainland;rock;rock;24.42;10.12;6.05;4.4;2.98;4.07;4.33;5.19;5.42
S6064;Pristurus_rupestris;Arabia;mainland;rock;rock;25.81;9.32;6.52;4.49;3.12;4.9;4.61;6.9;6.22
S6124;Pristurus_rupestris;Arabia;mainland;rock;rock;25.8;10.02;6.38;4.44;3.2;4;4.64;5.98;6.3
S6134;Pristurus_rupestris;Arabia;mainland;rock;rock;23.75;9.93;6.26;4.44;3.42;4.36;4.14;5.66;5.42
S7239;Pristurus_rupestris;Arabia;mainland;rock;rock;23.75;9.36;5.98;4.4;2.92;3.49;3.24;5.51;5.31
S7245;Pristurus_rupestris;Arabia;mainland;rock;rock;24.63;9.62;6.3;4.28;2.89;3.75;4.64;6.14;5.79
S7273;Pristurus_rupestris;Arabia;mainland;rock;rock;25.37;10.14;6.35;4.36;3.02;3.19;4.26;5.53;6.12
S7489;Pristurus_rupestris;Arabia;mainland;rock;rock;24.94;9.02;6.26;4.17;3.09;3.33;4.1;5.38;5.42
S7702;Pristurus_rupestris;Arabia;mainland;rock;rock;24.81;10.35;6.44;4.75;3.54;4.15;5.36;6.08;6.86
S7809;Pristurus_rupestris;Arabia;mainland;rock;rock;22.2;9.05;5.88;3.79;2.65;2.88;3.54;5.09;4.7
CN4244;Pristurus_sp3;Arabia;mainland;rock;rock;24.42;10.2;5.94;4.13;2.64;3.42;3.86;5.24;4.95
CN8298;Pristurus_sp3;Arabia;mainland;rock;rock;26.68;11.53;6.61;4.46;3.46;3.63;4.28;4.93;5.73
S7166;Pristurus_sp3;Arabia;mainland;rock;rock;24.11;9.71;6.21;4.69;3.2;3.86;4.28;5.11;5.36
S7167;Pristurus_sp3;Arabia;mainland;rock;rock;24.91;10.51;6.8;4.68;3.77;4.36;4.41;5.17;6.04
S7407;Pristurus_sp3;Arabia;mainland;rock;rock;26.49;11.7;6.59;5.12;3.91;4.2;4.39;5.29;6.51
S7415;Pristurus_sp3;Arabia;mainland;rock;rock;24.57;11.18;6.23;4.42;3.3;4.75;3.89;6.38;5.57
S7459;Pristurus_sp3;Arabia;mainland;rock;rock;24.3;10;6.1;4.63;3.13;3.35;4.13;4.95;5.44
S7882;Pristurus_sp3;Arabia;mainland;rock;rock;25.82;10.6;6.71;4.86;3.76;4.3;4.63;5.4;6.15
UAE31;Pristurus_sp3;Arabia;mainland;rock;rock;24.39;9.1;6.21;4.41;2.93;3.41;4.17;4.95;5.14
UAE34;Pristurus_sp3;Arabia;mainland;rock;rock;22.79;8.06;5.88;3.86;2.77;3.75;3.76;5.43;4.2
UAE40;Pristurus_sp3;Arabia;mainland;rock;rock;25.78;9.86;6.19;4.47;3.09;3.8;4.1;4.97;5.16
CN39;Pristurus_sp3;Arabia;mainland;rock;rock;24.6;10.69;6.43;4.41;3.05;3.78;4.27;5.21;5.78
CN4171;Pristurus_sp3;Arabia;mainland;rock;rock;25.97;11.01;6.45;4.51;3.24;3.81;4.36;5.32;5.29
S6060;Pristurus_sp3;Arabia;mainland;rock;rock;24.94;10.25;6.52;4.86;3.39;4.25;4.02;4.76;5.2
S7120;Pristurus_sp3;Arabia;mainland;rock;rock;22.45;9.37;6.17;4.25;2.94;4.4;4.57;5.66;5.22
S7452;Pristurus_sp3;Arabia;mainland;rock;rock;22.45;8.44;5.71;4.2;3.41;3.59;3.76;5.08;4.66
S7475;Pristurus_sp3;Arabia;mainland;rock;rock;25.34;10.31;6.48;4.84;3.15;3.62;4.27;5.7;6
S7730;Pristurus_sp3;Arabia;mainland;rock;rock;20.94;7.9;5.58;4.02;3.33;3.24;4.05;4.47;5.2
CN3489;Pristurus_sp3;Arabia;mainland;rock;rock;26.76;10.22;6.64;4.54;3.2;4.14;4.94;5.79;6.15
CN3699;Pristurus_sp3;Arabia;mainland;rock;rock;24.98;11.2;6.35;4.42;3.11;3.78;4.51;5.74;6.33
CN7239;Pristurus_sp3;Arabia;mainland;rock;rock;25.26;10.91;6.37;4.49;2.99;3.43;4.3;5.51;5.49
S6102;Pristurus_sp3;Arabia;mainland;rock;rock;25.39;10.66;6.51;4.34;3.24;4.2;5.49;5.77;5.55
S6123;Pristurus_sp3;Arabia;mainland;rock;rock;24.84;9.45;6.57;4.56;3.12;3.38;4.96;5.67;5.73
S7526;Pristurus_sp3;Arabia;mainland;rock;rock;25.48;9.11;6.73;4.48;3.21;4.2;4.48;5.58;5.89
S7533;Pristurus_sp3;Arabia;mainland;rock;rock;24.7;9.86;7.05;4.45;3.13;4.47;4.86;6.41;6.47
S7551;Pristurus_sp3;Arabia;mainland;rock;rock;24.22;9.87;6.37;4.46;3.13;4.14;4.52;5.18;5.3
CN4174;Pristurus_sp3;Arabia;mainland;rock;rock;24.35;10.6;5.97;4.49;2.95;3.79;3.95;5.73;5.3
CN7200;Pristurus_sp3;Arabia;mainland;rock;rock;24.4;10.6;6.29;4.66;3.22;3.93;4.55;5.39;5.33
S7312;Pristurus_sp3;Arabia;mainland;rock;rock;24.77;8.84;6.59;4.8;3.24;3.07;3.92;6.01;5.51
S7528;Pristurus_sp3;Arabia;mainland;rock;rock;25.19;9.87;6.44;4.95;3.3;4.11;3.9;5.62;5.42
S7736;Pristurus_sp3;Arabia;mainland;rock;rock;25.54;10.89;6.68;5.26;3.44;3.82;4.55;4.6;5.93
CN3717;Pristurus_sp3;Arabia;mainland;rock;rock;26.44;11.48;6.67;4.42;3.21;3.52;4.51;5.42;5.66
CN8031;Pristurus_sp3;Arabia;mainland;rock;rock;23.89;9.24;5.96;4.4;3.15;3.93;4.16;5.07;5.89
CN8289;Pristurus_sp3;Arabia;mainland;rock;rock;25.88;10.7;6.49;4.42;3.45;4.19;4.69;5.47;6.09
CN8662;Pristurus_sp3;Arabia;mainland;rock;rock;25.75;11.09;6.25;4.5;3.27;4.06;4.52;5.39;5.89
S6122;Pristurus_sp3;Arabia;mainland;rock;rock;26.78;10.72;6.34;4.81;3.18;4.64;4.51;6.19;6.15
S7258;Pristurus_sp3;Arabia;mainland;rock;rock;26.39;10.3;6.68;4.57;3.23;3.38;4.53;5.4;5.85
S7546;Pristurus_sp3;Arabia;mainland;rock;rock;27.18;10.76;6.57;4.83;3.21;3.89;4.34;6.01;5.74
S7644;Pristurus_sp3;Arabia;mainland;rock;rock;25.26;9.54;6.49;4.73;3.56;3.77;4.46;5.31;6.52
S7989;Pristurus_sp3;Arabia;mainland;rock;rock;25.18;10.08;6.25;4.46;3.06;3.54;4.32;5.24;5.53
UAE44;Pristurus_sp3;Arabia;mainland;rock;rock;26.61;10.15;6.32;4.57;3.27;4.36;4.48;5.88;5.75
UAE45;Pristurus_sp3;Arabia;mainland;rock;rock;27.36;11.39;6.48;4.8;3.28;4.61;4.71;5.7;6.09
CN3704;Pristurus_sp4;Arabia;mainland;rock;rock;23.23;10.08;6.15;4.35;3.06;3.61;3.87;4.62;5.1
S7257;Pristurus_sp4;Arabia;mainland;rock;rock;23.96;10.11;6.36;4.71;3.07;3.4;3.62;5.45;5.11
CN5855;Pristurus_sp3;Arabia;mainland;rock;rock;25.48;10.48;6.68;5.04;3.48;3.92;4.54;5.18;5.48
CN7125;Pristurus_sp3;Arabia;mainland;rock;rock;23.31;9.08;6.21;4.55;3.31;3.62;4.06;5.08;5.19
CN179;Pristurus_rupestris;Arabia;mainland;rock;rock;27.37;12.19;6.77;4.75;3.5;4.08;4.92;5.81;5.91
CN3705;Pristurus_rupestris;Arabia;mainland;rock;rock;24.42;10.29;6.19;4.22;3.2;3.7;4.39;5.35;5.85
CN3720;Pristurus_rupestris;Arabia;mainland;rock;rock;25.56;11.05;6.47;4.53;3.2;4.1;4.59;5.43;5.88
CN3997;Pristurus_rupestris;Arabia;mainland;rock;rock;25.5;9.68;6.59;4.42;3.47;3.66;4.57;5.39;5.56
CN4175;Pristurus_rupestris;Arabia;mainland;rock;rock;24.51;10.23;5.94;4.4;3.14;3.58;4.17;4.92;5.74
CN7147;Pristurus_rupestris;Arabia;mainland;rock;rock;24.13;10.65;6.29;4.24;2.89;3.66;4.26;4.67;5.32
CN8972;Pristurus_rupestris;Arabia;mainland;rock;rock;25.62;10.72;6.2;4.27;3.25;3.68;4.37;4.88;5.79
S1673;Pristurus_rupestris;Arabia;mainland;rock;rock;26.03;10.78;6.15;5.14;3.03;4.08;4.64;5.21;5.89
S1689;Pristurus_rupestris;Arabia;mainland;rock;rock;26.1;7.72;6.55;4.35;3.05;4.45;4.74;5.35;5.92
S1773;Pristurus_rupestris;Arabia;mainland;rock;rock;23.56;9.16;6.04;4.18;3.03;3.6;4.08;5.96;5.53
S1799;Pristurus_rupestris;Arabia;mainland;rock;rock;24.23;9.98;5.91;4.32;3.2;3.49;4.03;5.68;5.48
S6100;Pristurus_rupestris;Arabia;mainland;rock;rock;26.47;11.73;6.5;4.9;3.3;4.57;5.01;6.14;6.65
S7247;Pristurus_rupestris;Arabia;mainland;rock;rock;23.07;9.21;5.69;4.11;2.91;3.5;4.35;5.74;4.91
S7409;Pristurus_rupestris;Arabia;mainland;rock;rock;25.27;9.96;6.16;4.16;3.09;3.99;4.35;5.51;5.63
S7525;Pristurus_rupestris;Arabia;mainland;rock;rock;26.29;10.88;6.8;4.47;3.18;3.74;4.2;5.94;6.2
S7534;Pristurus_rupestris;Arabia;mainland;rock;rock;24.51;10.29;6.24;4.55;3.08;4.07;4.7;5.66;5.87
S7544;Pristurus_rupestris;Arabia;mainland;rock;rock;26.13;10.35;6.65;4.41;3.11;4.49;4.21;5.71;5.89
S7553;Pristurus_rupestris;Arabia;mainland;rock;rock;25.34;9.88;6.31;4.38;2.93;4.33;4.76;5.63;5.99
S7561;Pristurus_rupestris;Arabia;mainland;rock;rock;24;9.97;6.22;4.15;2.91;3.64;4.29;5.08;5.42
S7709;Pristurus_rupestris;Arabia;mainland;rock;rock;25.63;10.09;6.67;4.54;3.31;3.89;4.85;5.75;6.39
S9016;Pristurus_rupestris;Arabia;mainland;rock;rock;23.52;9.19;5.98;4.3;3.39;3.68;4.52;5.08;5.98
S9018;Pristurus_rupestris;Arabia;mainland;rock;rock;25.7;10.19;6.55;4.73;3.36;4.21;4.68;5.48;6.49
UAE58;Pristurus_rupestris;Arabia;mainland;rock;rock;24.42;9.51;6.21;4.23;2.92;3.81;3.5;6.38;5.57
CN32;Pristurus_rupestris;Arabia;mainland;rock;rock;25.22;11.59;6.15;4.63;3.05;4.06;4.19;5.05;5.4
CN3224;Pristurus_rupestris;Arabia;mainland;rock;rock;26.7;12.21;6.44;4.34;3.13;4.42;4.41;5.02;5.7
CN3709;Pristurus_rupestris;Arabia;mainland;rock;rock;26.04;10.67;6.46;4.42;3.27;4.25;4.44;5.44;5.34
CN5829;Pristurus_rupestris;Arabia;mainland;rock;rock;23.95;10.13;5.88;4.29;2.81;3.72;3.93;4.85;4.96
S6116;Pristurus_rupestris;Arabia;mainland;rock;rock;26.01;10.69;6.8;4.75;3.09;3.69;4.96;4.97;5.56
